demo_id,demo_date,demo_year,demo_month,demo_month_name,demo_quarter,day_of_week,hour_of_day,is_weekend,market,region,market_size,vehicle_model,vehicle_id,vehicle_price,customer_segment,drive_duration_mins,utilization_rate,converted,conversion_probability,days_to_purchase,satisfaction_score,revenue_generated,demo_cost
DEMO-000001,2024-09-07,2024,9,September,Q3,Saturday,12,1,"Atlanta, GA",Southeast,Medium,Model 3,ATL-MOD-02,40240,Cost Conscious,48,0.745,0,0.109,,3.3,0,48.75
DEMO-000002,2024-07-22,2024,7,July,Q3,Monday,16,0,"Dallas, TX",South,Large,Model Y,DAL-MOD-08,43990,Tech Early Adopter,48,0.745,0,0.2827,,4.7,0,45.26
DEMO-000003,2024-10-11,2024,10,October,Q4,Friday,11,0,"Portland, OR",Northwest,Small,Model 3,POR-MOD-02,40240,Luxury Buyer,50,0.64,0,0.2593,,3.8,0,58.76
DEMO-000004,2025-07-03,2025,7,July,Q3,Thursday,11,0,"Austin, TX",South,Medium,Model X,AUS-MOD-05,79990,Cost Conscious,72,0.865,1,0.1163,3.0,5.0,79990,68.09
DEMO-000005,2024-10-23,2024,10,October,Q4,Wednesday,19,0,"Boston, MA",Northeast,Medium,Model 3,BOS-MOD-07,40240,Cost Conscious,47,0.589,0,0.1346,,4.3,0,59.59
DEMO-000006,2025-12-19,2025,12,December,Q4,Friday,18,0,"Miami, FL",Southeast,Large,Model Y,MIA-MOD-03,43990,Cost Conscious,58,0.717,0,0.1035,,3.6,0,63.49
DEMO-000007,2025-07-24,2025,7,July,Q3,Thursday,11,0,"Austin, TX",South,Medium,Cybertruck,AUS-CYB-01,49890,Cost Conscious,60,0.565,0,0.1534,,3.3,0,57.62
DEMO-000008,2025-08-03,2025,8,August,Q3,Sunday,17,1,"Austin, TX",South,Medium,Model 3,AUS-MOD-07,40240,Fleet/Business Buyer,40,0.892,0,0.2756,,4.4,0,50.71
DEMO-000009,2024-09-26,2024,9,September,Q3,Thursday,16,0,"Phoenix, AZ",Southwest,Medium,Model 3,PHO-MOD-06,40240,Cost Conscious,40,0.56,0,0.1002,,5.0,0,65.38
DEMO-000010,2024-06-05,2024,6,June,Q2,Wednesday,15,0,"San Francisco, CA",West,Large,Model X,SAN-MOD-02,79990,First Time EV,52,0.642,0,0.1683,,4.3,0,63.72
DEMO-000011,2024-01-12,2024,1,January,Q1,Friday,15,0,"Austin, TX",South,Medium,Cybertruck,AUS-CYB-05,49890,First Time EV,44,0.834,0,0.1505,,3.8,0,56.74
